rate_date,base_currency,quote_currency,fx_to_usd,,,
2025-12-22,USD,NOK,0;095,,,
2025-12-22,USD,SGD,0;7407,,,
2025-12-22,USD,AED,0;2695,,,
2025-12-22,USD,GBP,1;2596,,,
2025-12-22,USD,CNY,0;139,,,
2025-12-22,USD,MYR,0;21,,,
2025-12-23,USD,USD,1,,,
2025-12-23,USD,EUR,1;0901,,,
2025-12-23,USD,NOK,0;095,,,
2025-12-23,USD,SGD,0;7401,,,
2025-12-23,USD,AED,0;2695,,,
2025-12-23,USD,GBP,1;2591,,,
2025-12-23,USD,CNY,0;1389,,,
2025-12-23,USD,MYR,0;2099,,,
2025-12-24,USD,USD,1,,,
2025-12-24,USD,EUR,1;09,,,
2025-12-24,USD,NOK,0;095,,,
2025-12-24,USD,SGD,0;74,,,
2025-12-24,USD,AED,0;2697,,,
2025-12-24,USD,GBP,1;2594,,,
2025-12-24,USD,CNY,0;1388,,,
2025-12-24,USD,MYR,0;21,,,
2025-12-25,USD,USD,1,,,
2025-12-25,USD,EUR,1;09,,,
2025-12-25,USD,NOK,0;0951,,,
2025-12-25,USD,SGD,0;7405,,,
2025-12-25,USD,AED,0;2696,,,
2025-12-25,USD,GBP,1;2604,,,
2025-12-25,USD,CNY,0;1388,,,
2025-12-25,USD,MYR,0;2099,,,
2025-12-26,USD,USD,1,,,
2025-12-26,USD,EUR,1;0901,,,
2025-12-26,USD,NOK,0;095,,,
2025-12-26,USD,SGD,0;7401,,,
2025-12-26,USD,AED,0;2697,,,
2025-12-26,USD,GBP,1;2595,,,
2025-12-26,USD,CNY,0;1388,,,
2025-12-26,USD,MYR,0;21,,,
2025-12-27,USD,USD,1,,,
2025-12-27,USD,EUR,1;0903,,,
2025-12-27,USD,NOK,0;0951,,,
2025-12-27,USD,SGD,0;7402,,,
2025-12-27,USD,AED,0;2696,,,
2025-12-27,USD,GBP,1;2594,,,
2025-12-27,USD,CNY,0;1389,,,
2025-12-27,USD,MYR,0;2099,,,
2025-12-28,USD,USD,1,,,
2025-12-28,USD,EUR,1;0906,,,
2025-12-28,USD,NOK,0;095,,,
2025-12-28,USD,SGD,0;741,,,
2025-12-28,USD,AED,0;2696,,,
2025-12-28,USD,GBP,1;26,,,
2025-12-28,USD,CNY,0;139,,,
2025-12-28,USD,MYR,0;2101,,,
2025-12-29,USD,USD,1,,,
2025-12-29,USD,EUR,1;0911,,,
2025-12-29,USD,NOK,0;095,,,
2025-12-29,USD,SGD,0;7407,,,
2025-12-29,USD,AED,0;2693,,,
2025-12-29,USD,GBP,1;2587,,,
2025-12-29,USD,CNY,0;1389,,,
2025-12-29,USD,MYR,0;21,,,
2025-12-30,USD,USD,1,,,
2025-12-30,USD,EUR,1;0916,,,
2025-12-30,USD,NOK,0;095,,,
2025-12-30,USD,SGD,0;7411,,,
2025-12-30,USD,AED,0;2693,,,
2025-12-30,USD,GBP,1;2582,,,
2025-12-30,USD,CNY,0;1388,,,
2025-12-30,USD,MYR,0;2102,,,
2025-12-31,USD,USD,1,,,
2025-12-31,USD,EUR,1;0923,,,
2025-12-31,USD,NOK,0;095,,,
2025-12-31,USD,SGD,0;7405,,,
2025-12-31,USD,AED,0;2695,,,
2025-12-31,USD,GBP,1;2585,,,
2025-12-31,USD,CNY,0;1387,,,
2025-12-31,USD,MYR,0;2101,,,
